,Building,Impervious,Water,Grass,Deciduous,Evergreen,Shrub
2018-06-12 06:00:00,33.203116059303284,51.45882964134216,1.1861765757203102,13.607844710350037,--,0.5430392920970917,0.000986974555416964
2018-06-12 07:00:00,31.31573796272278,48.165011405944824,2.798386476933956,17.00376272201538,--,0.6851309444755316,0.03201129147782922
2018-06-12 08:00:00,33.99898707866669,47.69761860370636,1.7336905002593994,15.470874309539795,--,1.017320156097412,0.08150461944751441
2018-06-12 09:00:00,30.94431459903717,45.059531927108765,3.3561360090970993,19.785170257091522,--,0.8304483257234097,0.024447409668937325
2018-06-12 10:00:00,31.658989191055298,48.98998141288757,2.3998698219656944,16.268236935138702,--,0.6473120301961899,0.03560649638529867
2018-06-12 11:00:00,30.134186148643494,41.759321093559265,2.9224932193756104,24.447454512119293,--,0.6766006350517273,0.05999794811941683
2018-06-12 12:00:00,29.299384355545044,40.37212431430817,2.6755521073937416,26.80339813232422,--,0.6905996240675449,0.15893160598352551
2018-06-12 13:00:00,31.179746985435486,47.963497042655945,2.494584582746029,17.598862946033478,--,0.6922333966940641,0.07109903381206095
2018-06-12 14:00:00,31.165924668312073,40.54962694644928,2.117706462740898,25.222215056419373,0.0013924689483246766,0.8198226802051067,0.12327204458415508
2018-06-12 15:00:00,29.966256022453308,41.42253398895264,2.7685724198818207,25.058811902999878,2.3628682299658976e-05,0.6610031705349684,0.12277286732569337
2018-06-12 16:00:00,31.577247381210327,44.66022849082947,3.274627774953842,19.57371085882187,--,0.8754769340157509,0.0387005420634523
2018-06-12 17:00:00,29.536643624305725,41.006866097450256,2.632112428545952,26.0940283536911,0.00011860901167892735,0.5680161528289318,0.16226167790591717
2018-06-12 18:00:00,31.200912594795227,39.50256705284119,1.5784397721290588,26.883912086486816,0.006116857548477128,0.6637145765125751,0.16434821300208569
