,Building,Impervious,Water,Grass,Deciduous,Evergreen,Shrub
2018-07-04 05:00:00,26.384466886520386,38.93320858478546,--,34.66303050518036,--,0.01928800775203854,--
2018-07-04 06:00:00,25.90615153312683,38.36376667022705,--,34.771984815597534,--,0.9581084363162518,--
2018-07-04 07:00:00,26.780766248703003,39.12675678730011,--,34.06510949134827,--,0.027361875982023776,--
2018-07-04 08:00:00,26.586169004440308,39.979928731918335,--,33.43389332294464,--,--,--
2018-07-04 09:00:00,27.581602334976196,39.837491512298584,--,32.58092701435089,--,--,--
2018-07-04 10:00:00,28.008121252059937,39.0438973903656,--,32.947975397109985,--,--,--
2018-07-04 11:00:00,28.191033005714417,38.433828949928284,--,33.375146985054016,--,--,--
2018-07-04 12:00:00,28.28766107559204,39.56649303436279,--,32.14584290981293,--,--,--
2018-07-04 13:00:00,25.639089941978455,38.401177525520325,--,35.95974147319794,--,--,--
2018-07-04 14:00:00,26.353421807289124,42.24021136760712,--,31.406354904174805,--,--,--
2018-07-04 15:00:00,26.256218552589417,40.55786728858948,--,33.18590521812439,--,--,--
2018-07-04 16:00:00,26.824691891670227,41.88416004180908,--,31.291109323501587,--,--,--
2018-07-04 17:00:00,27.09977924823761,42.97260940074921,--,29.92761731147766,--,--,--
2018-07-04 18:00:00,26.88561975955963,42.30108559131622,--,30.81327974796295,--,--,--
