GRID,broadleaf,needleleaf,C3,C4,shrubs,lake,soil,ice,canyon,roof
A,0.0,0.0,0.052225001156330109,0.0,0.029198680073022842,0.00093747873324900866,0.033237691968679428,0.0,0.59575587511062622,0.28864526748657227
B,0.0,0.0,0.055392324924468994,0.0,0.043733861297369003,0.0060331430286169052,0.04807388037443161,0.0,0.59740185737609863,0.24936491250991821
C,0.0052245799452066422,0.0014929019380360842,0.08869103342294693,0.0,0.053419724106788635,0.13701699674129486,0.0327865369617939,0.0,0.51857626438140869,0.16279196739196777
D,0.0,0.0,0.11000439524650574,0.0,0.056490622460842133,0.0,0.044389955699443817,0.0,0.5778241753578186,0.21129083633422852
E,0.0,0.0,0.17367358505725861,0.0,0.070655860006809235,0.0079763792455196381,0.056860294193029404,0.0,0.52406156063079834,0.16677230596542358
F,0.0,0.0,0.11100101470947266,0.0,0.068252675235271454,4.0819300920702517e-05,0.06516110897064209,0.0,0.56069183349609375,0.19485253095626831
G,0.0,0.0,0.10411275178194046,0.0,0.067447923123836517,0.0,0.046751175075769424,0.0,0.57424968481063843,0.20743846893310547
H,0.0087735820561647415,0.0,0.08334757387638092,0.0,0.060707021504640579,0.0,0.04157569631934166,0.0,0.58511811494827271,0.22047799825668335
I,0.0,0.0,0.070839107036590576,0.0,0.055018585175275803,0.0,0.037775635719299316,0.0,0.59534913301467896,0.24101752042770386
