GRID,broadleaf,needleleaf,C3,C4,shrubs,lake,soil,ice,canyon,roof
A,0.00049763324204832315,0.0,0.035691384226083755,0.0,0.027895199134945869,0.0,0.039980117231607437,0.0,0.59145087003707886,0.3044847846031189
B,0.0,0.0,0.02747708186507225,0.0,0.022777801379561424,0.0,0.021571662276983261,0.0,0.56579500436782837,0.36237847805023193
C,0.0,0.0,0.039337944239377975,0.0,0.030323725193738937,0.00093640235718339682,0.025452461093664169,0.0,0.58709651231765747,0.31685292720794678
D,0.0,0.0,0.013965927995741367,0.0,0.013413034379482269,0.013693270273506641,0.020787149667739868,0.0,0.55279284715652466,0.38534778356552124
E,0.0,0.0,0.024061985313892365,0.0,0.018698794767260551,0.13590702414512634,0.031678352504968643,0.0,0.57807594537734985,0.2115778923034668
F,0.0,0.0,0.013990671373903751,0.0,0.013439704664051533,0.10228171944618225,0.024662066251039505,0.0,0.59721934795379639,0.24840646982192993
G,0.00054481718689203262,0.0,0.1029035672545433,0.0,0.039099220186471939,0.12753219902515411,0.037121154367923737,0.0,0.52519941329956055,0.16759961843490601
H,0.0,0.0,0.052225001156330109,0.0,0.029198680073022842,0.00093747873324900866,0.033237691968679428,0.0,0.59575587511062622,0.28864526748657227
I,0.0,0.0,0.055392324924468994,0.0,0.043733861297369003,0.0060331430286169052,0.04807388037443161,0.0,0.59740185737609863,0.24936491250991821
