,broadleaf,needleleaf,C3,C4,shrubs,lake,soil,ice,canyon,roof
16050206,1.7675340767109018e-06,0.0,0.026418456659590108,0.0,0.019950316612323674,0.10707217845010118,0.030228022827955097,0.0,0.5769729778662405,0.23935627952024033
16050207,1.829005941560399e-06,0.0,0.025702844635594253,0.0,0.019736913389642282,0.10601013371976682,0.029839112183189503,0.0,0.5759806353842654,0.24272853242514336
16050208,1.6443886992746965e-06,0.0,0.025961327086822316,0.0,0.01981160361809734,0.10657265717178967,0.030002809121252225,0.0,0.5764040093215584,0.24124594928609497
16050209,1.579731212059036e-08,0.0,0.025542619248507276,0.0,0.01973442734037622,0.10719300661709222,0.029916278802174224,0.0,0.5763996336114652,0.24121401909931203
16050210,4.112573881191891e-06,0.0,0.0255447559864704,0.0,0.01964771200595061,0.1035426157086437,0.02950628470718417,0.0,0.5749072948704547,0.24684722532574838
16050211,6.69495321473126e-06,0.0,0.025733158575668217,0.0,0.0196458111745396,0.10231943757095172,0.02940516300052846,0.0,0.5743138757479848,0.2485758603607841
16050212,1.7876073538337834e-06,0.0,0.02568089181702839,0.0,0.019731333392565577,0.10591221719982358,0.029824464536972396,0.0,0.5759541592692139,0.24289514689840588
16050213,2.181403853434529e-06,0.0,0.025747158092907278,0.0,0.019745746750095335,0.10616907732101816,0.029852687333428676,0.0,0.5759578058404073,0.24252534361823277
16050214,1.1241103590611322e-05,0.0,0.027026617903301714,0.0,0.019998287407621225,0.10614562405348696,0.029998168793854644,0.0,0.575076901453321,0.24174315923742645
16050215,1.4666883579266817e-05,0.0,0.027014117301886888,0.0,0.019926548164895405,0.10436217817813516,0.02973088381926988,0.0,0.573954742100365,0.24499686407959134
16050216,4.083358722587322e-05,0.0,0.029984562218387162,0.0,0.020466891995759014,0.10168424531497636,0.02963548899146665,0.0,0.5702394339002618,0.24794854449767822
16050217,7.011972410403529e-05,0.0,0.03291613876351686,0.0,0.020911072984135342,0.09250616406818726,0.028975697828196395,0.0,0.5649262209281276,0.2596945873989235
