,Building,Impervious,Water,Grass,Deciduous,Evergreen,Shrub
2016-04-12 07:00:00,53.03835868835449,40.20782709121704,0.4855050239712,5.145266652107239,0.0003685830506583443,0.30456073582172394,0.8181464858353138
2016-04-12 08:00:00,51.94000601768494,40.201276540756226,1.248074322938919,5.302010849118233,4.098403110219806e-05,0.47002555802464485,0.8385645225644112
2016-04-12 09:00:00,52.8564453125,40.41067361831665,0.43051294051110744,5.2574846893548965,0.00011186982646904653,0.17822931986302137,0.8665870875120163
2016-04-12 10:00:00,53.52838635444641,40.098997950553894,0.04421585181262344,5.2861537784338,0.0008605390576121863,0.17966310260817409,0.8617442101240158
2016-04-12 11:00:00,52.56532430648804,40.38777947425842,0.04179969255346805,5.885408446192741,0.0006178685453051003,0.18027171026915312,0.9387769736349583
2016-04-12 12:00:00,52.33926773071289,40.52933752536774,0.03796482924371958,5.9799302369356155,0.00014710668665429694,0.15925758052617311,0.9541249834001064
2016-04-12 13:00:00,52.984827756881714,40.348419547080994,0.057140656281262636,5.5655572563409805,0.000586233318244922,0.1678243512287736,0.8756005205214024
2016-04-12 14:00:00,53.596729040145874,39.653003215789795,0.46026469208300114,5.060940980911255,0.004638613245333545,0.592721626162529,0.6317368242889643
2016-04-12 15:00:00,52.82683968544006,40.434134006500244,0.3391189035028219,5.391087755560875,0.00036431858916330384,0.15164698706939816,0.856807641685009
2016-04-12 16:00:00,49.6384471654892,39.518412947654724,1.7412427812814713,6.871700286865234,0.00020863094505330082,1.3851592317223549,0.8448245003819466
2016-04-12 17:00:00,48.25339317321777,42.025744915008545,0.005222187974140979,9.706354886293411,--,0.008078413520706818,0.0012147378583904356
