,Building,Impervious,Water,Grass,Deciduous,Evergreen,Shrub
2016-06-28 08:00:00,44.44232881069183,38.0672812461853,0.004603897104971111,17.402048408985138,--,0.07105770637281239,0.012695127225015312
2016-06-28 09:00:00,45.7916796207428,40.024060010910034,0.01170547548099421,13.64603191614151,--,0.37022619508206844,0.15631468268111348
2016-06-28 10:00:00,45.28880715370178,40.09433090686798,0.008068123133853078,14.187289774417877,--,0.2878118772059679,0.13368568615987897
2016-06-28 11:00:00,50.07680654525757,39.8585706949234,0.03874510002788156,9.378872811794281,--,0.4305958282202482,0.21639724727720022
2016-06-28 12:00:00,51.71143412590027,39.54367935657501,0.04008921969216317,7.918265461921692,--,0.5636085290461779,0.22292681969702244
2016-06-28 13:00:00,49.75523352622986,40.54593741893768,0.0365890096873045,8.927365392446518,--,0.3139883279800415,0.42093852534890175
2016-06-28 14:00:00,51.76616907119751,39.469438791275024,0.0370008812751621,7.8849174082279205,6.196268600433541e-05,0.5827515386044979,0.259649776853621
2016-06-28 15:00:00,50.61764121055603,37.700241804122925,0.16986175905913115,9.098486602306366,0.00011861324082929059,1.9213605672121048,0.4923318512737751
2016-06-28 17:00:00,51.656800508499146,39.521974325180054,0.06191829452291131,7.630110532045364,0.00034658000913623255,0.775192491710186,0.35363659262657166
2016-06-28 18:00:00,49.970269203186035,40.183910727500916,0.42311325669288635,7.801856100559235,--,1.059948094189167,0.5609910469502211
